.-.----.... (a's)
.-.--...-.-.----.--..--...-....-.--..-. (aaneenkoppelingen)
.-.--...-..-...-......-.-......-. (aaneenlasschen)
.-.--...-..-...--.--..-. (aaneenleggen)
.-.--...-..-....--.--..-. (aaneenliggen)
.-.--...-..-.....-----.-. (aaneenlijmen)
.-.--...-.-..-.-...-. (aaneennaaien)
.-.--...-.-..---...-...-. (aaneennagelen)
.-.--...-..--..-.......-. (aaneenpassen)
.-.--...-..--..-...-.--....-. (aaneenplaatsen)
.-.--...-..--..-...-.--.....-.--. (aaneenplaatsing)
.-.--...-..--..-...-.--.....-.--..-. (aaneenplaatsingen)
.-.--...-..--..-...--.--.-.-. (aaneenplakken)
.-.--...-..-....-----..-. (aaneenrijgen)
.-.--...-....-.-......--.-..-...-. (aaneenschakelen)
.-.--...-....-.-......--.-..-....-.--. (aaneenschakeling)
.-.--...-....-.-......--.-..-....-.--..-. (aaneenschakelingen)
.-.--...-....-.-.......-.....-.-. (aaneenschuiven)
.-.--...-.....-....-..-.-. (aaneensluiten)
.-.--...-.....-....-..-..-.--. (aaneensluiting)
.-.--...-.....-....-..-..-.--..-. (aaneensluitingen)
.-.--...-....--.-...-. (aaneensmeden)
.-.--...-....-.---..-..-. (aaneensnoeren)
.-.--...-....---.-..-.....-..-. (aaneensoldeeren)
.-.--...-.....--....----.-..-..-. (aaneenspijkeren)
.-.--...-....-.-.--. (aaneenstaan)
.-.--...-....-.-...-.--.-.-. (aaneenstrikken)
.-.--...-....-.-...-.-.....-.-. (aaneenvlechten)
.-.--...-....----.--..-. (aaneenvoegen)
.-.--...-....----.--...-.--. (aaneenvoeging)
.-.--...-....----.--...-.--..-. (aaneenvoegingen)
.-.--...-..--..-...-...-. (aaneenwellen)
.-.--...-.--...--.-. (aaneenzetten)
.-.--...-.--....--.-. (aaneenzitten)
.-.--...-....-.-. (aanerven)
.-.--...-....-..-.--. (aanerving)
.-.--...-....-..-.--..-. (aanervingen)
.-.--...-..-....-..-.-. (aanfluiten)
.-.--...-..-....-..-..-.--. (aanfluiting)
.-.--...-..-....-..-..-.--..-. (aanfluitingen)
.-.--...-.----.--.-.-. (aanfokken)
.-.--...-.----.--.-..-. (aanfokker)
.-.--...-.----.--.-..-.... (aanfokkers)
.-.--...-.----.--.-..-.--. (aanfokking)
.-.--...-.----.--.-..-.--..-. (aanfokkingen)
.-.--.--..-.--. (aangaan)
.-.--.--..-.--.-... (aangaande)
.-.--.--..--.--. (aangang)
.-.--.--..--.--..-. (aangangen)
.-.--.--..-.--..-. (aangapen)
.-.--.--...-.-.-.-.. (aangeaard)
.-.--.--...--...---.. (aangeademd)
.-.--.--.......--.--.-.-. (aangebakken)
.-.--.--.......-...- (aangebast)
.-.--.--.......-...-. (aangebeden)
.-.--.--.......-...-.. (aangebedene)
.-.--.--.......-...-..-. (aangebedenen)
.-.--.--........-.-.. (aangebeend)
.-.--.--........-..-.. (aangebeld)
.-.--.--........-.---.. (aangebermd)
.-.--.--.......-.-. (aangebeten)
.-.--.--.......-..-.-.. (aangebeterd)
.-.--.--.......-...-.-- (aangeblaat)
.-.--.--.......-...-..-.- (aangeblaft)
.-.--.--.......-...---...-. (aangeblazen)
.-.--.--.......-......-.-. (aangebleven)
.-.--.--.......-....-.-- (aangeblikt)
.-.--.--......----...-. (aangeboden)
.-.--.--......---.-.-- (aangeboekt)
.-.--.--......-----..-. (aangebogen)
.-.--.--......----.-...-. (aangebonden)
.-.--.--......------.-.-.. (aangeboord)
.-.--.--......---.-..-. (aangeboren)
.-.--.--......----...- (aangebotst)
.-.--.--......---..-.---.. (aangebouwd)
.-.--.--.......-..--.-.....- (aangebracht)
.-.--.--.......-..--.-.. (aangebrand)
.-.--.--.......-..-...- (aangebrast)
.-.--.--.......-....-.. (aangebreid)
.-.--.--.......-......-.-.. (aangebriefd)
.-.--.--.......-.----.-.-. (aangebroken)
.-.--.--.......-...-.....- (aangebruist)
.-.--.--.......-...-.-..-.. (aangebruld)
.-.--.--........-.-..-....-.-.. (aangebulderd)
.-.--.--..-...-.--. (aangedaan)
.-.--.--..-...----.. (aangedamd)
.-.--.--..-...--....- (aangedanst)
.-.--.--..-...-.-- (aangedekt)
.-.--.--..-....-.-.....- (aangedicht)
.-.--.--..-.....-.-.. (aangediend)
.-.--.--..-......--.- (aangediept)
.-.--.--..-.....----.-- (aangedijkt)
.-.--.--..-....-.-- (aangedikt)
.-.--.--..-..---...- (aangedost)
.-.--.--..-...-..-.-..-.-.. (aangedraafd)
.-.--.--..-...-..-.-..-.. (aangedraaid)
.-.--.--..-...-..---..-. (aangedragen)
.-.--.--..-...-..-.-..-..-.. (aangedrenteld)
.-.--.--..-...-.....-.-. (aangedreven)
.-.--.--..-...-.----.--..-. (aangedrongen)
.-.--.--..-...-.----.-.-.-. (aangedronken)
.-.--.--..-...-...-.....-.-.....- (aangedruischt)
.-.--.--..-...-...--.-- (aangedrukt)
.-.--.--..-....-..-.. (aangeduid)
.-.--.--..-....-.-...-.-.. (aangedurfd)
.-.--.--..-....-.---.. (aangeduwd)
.-.--.--..-...--....-..-.. (aangedweild)
